wmoid	name	lat	lon	elev	descript	near_airport	reg	gps_date	latest
47918	ROIG	2433	12417	7	ISHIGAKIJIMA ISLAND	NULL	7,10,18	NULL	2023-01-09 12:00:00
47909	47909	2838	12955	295	NAZE/FUNCHATOGE	NULL	7,10,18	NULL	2023-01-09 12:00:00
47827	47827	3163	13058	31	KAGOSHIMA/YOSHINO	NULL	7,10,18	NULL	2023-01-09 12:00:00
47807	47807	3358	13038	14	FUKUOKA	NULL	7,10,18	NULL	2023-01-09 12:00:00
47778	47778	3345	13577	75	SHIONOMISAKI	NULL	7,10,18	NULL	2023-01-09 12:00:00
47744	47744	3543	13335	8	YONAGO	NULL	7,10,18	NULL	2009-11-17 00:00:00
47681	RJNH	3473	13767	48	HAMAMATSU AB	NULL	7,10,18	NULL	2019-06-30 12:00:00
47678	47678	3312	13978	80	HACHIJOJIMA/OMURE	NULL	7,10,18	NULL	2023-01-09 12:00:00
47646	47646	3605	14013	31	TATENO	NULL	7,10,18	NULL	2023-01-09 12:00:00
47600	47600	3738	13690	14	WAJIMA	NULL	7,10,18	NULL	2023-01-09 12:00:00
47590	47590	3827	14090	43	SENDAI	NULL	7,10,18	NULL	2008-03-31 12:00:00
47582	47582	3972	14010	21	AKITA	NULL	7,10,18	NULL	2023-01-09 12:00:00
47580	RJSM	4068	14138	39	MISAWA	NULL	7,10,18	NULL	2020-03-31 12:00:00
47420	47420	4333	14558	26	NEMURO	NULL	7,10,18	NULL	2009-11-17 00:00:00
47412	47412	4305	14133	19	SAPPORO	NULL	7,10,18	NULL	2023-01-09 12:00:00
47401	47401	4542	14168	11	WAKKANAI	NULL	7,10,18	NULL	2023-01-09 12:00:00
47185	47185	3328	12617	73	CHEJU	NULL	7,10,18	NULL	2016-05-31 12:00:00
47158	RKJJ	3512	12682	13	KWANGJU (KOR-AFB)	NULL	7,10,18	NULL	2023-01-09 18:00:00
47138	47138	3603	12938	6	POHANG	NULL	7,10,18	NULL	2023-01-09 18:00:00
47122	RKSO	3710	12703	12	OSAN (US/KOR-AFB)	NULL	7,10,18	NULL	2023-01-09 18:00:00
47102	47102	3803	12715	70	CHONGONG-NI	NULL	7,10,18	NULL	2023-01-09 18:00:00
45004	45004	2232	11417	66	KING'S PARK	NULL	7,10,18	NULL	2023-01-09 18:00:00
44292	44292	4793	10698	1313	ULAN-BATOR	NULL	7,10,18	NULL	2023-01-09 12:00:00
44212	44212	4997	9208	936	ULAN-GOM	NULL	7,10,18	NULL	2023-01-09 12:00:00
43371	43371	848	7695	64	THIRUVANANTHAPURAM	NULL	7,8,18	NULL	2023-01-09 00:00:00
43369	43369	830	7315	2	MINICOY ISLAND	NULL	7,8,18	NULL	2021-04-21 05:00:00
43346	43346	1092	7983	7	KARAIKAL	NULL	7,8,18	NULL	2023-01-09 05:00:00
43333	VEPB	1167	9272	79	PORT BLAIR	NULL	7,8,18	NULL	2023-01-09 17:00:00
43295	43295	1297	7758	921	BANGALORE	NULL	7,8,18	NULL	2022-08-21 10:00:00
43285	43285	1295	7483	31	PANAMBUR	NULL	7,8,18	NULL	2023-01-09 11:00:00
43185	43185	1620	8115	3	MACHILIPATNAM	NULL	7,8,18	NULL	2022-10-25 12:00:00
43150	43150	1770	8330	66	VISHAKHAPATNAM/WALT	NULL	7,8,18	NULL	2023-01-09 00:00:00
43128	VOHY	1745	7847	545	HYDERABAD (CIV/MIL)	NULL	7,8,18	NULL	2023-01-02 06:00:00
43014	VAAU	1985	7540	579	AURANGABAD AIRPORT	NULL	7,8,18	NULL	2023-01-09 05:00:00
